true,n,accuracy
card_acceptance,8,0.5
card_swallowed,15,0.5333333333333333
beneficiary_not_allowed,13,0.5384615384615384
transfer_not_received_by_recipient,14,0.6428571428571429
supported_cards_and_currencies,9,0.6666666666666666
verify_my_identity,9,0.6666666666666666
transfer_timing,9,0.6666666666666666
top_up_failed,15,0.6666666666666666
virtual_card_not_working,7,0.7142857142857143
card_payment_not_recognised,18,0.7222222222222222
compromised_card,11,0.7272727272727273
get_disposable_virtual_card,11,0.7272727272727273
request_refund,11,0.7272727272727273
topping_up_by_card,15,0.7333333333333333
declined_transfer,12,0.75
fiat_currency_support,18,0.7777777777777778
card_not_working,9,0.7777777777777778
extra_charge_on_statement,19,0.7894736842105263
top_up_by_cash_or_cheque,15,0.8
transfer_fee_charged,10,0.8
receiving_money,10,0.8
top_up_reverted,15,0.8
cancel_transfer,10,0.8
card_payment_fee_charged,16,0.8125
pin_blocked,17,0.8235294117647058
top_up_by_bank_transfer_charge,12,0.8333333333333334
balance_not_updated_after_bank_transfer,18,0.8333333333333334
card_delivery_estimate,13,0.8461538461538461
activate_my_card,13,0.8461538461538461
contactless_not_working,14,0.8571428571428571
failed_transfer,14,0.8571428571428571
top_up_by_card_charge,14,0.8571428571428571
card_about_to_expire,14,0.8571428571428571
pending_card_payment,14,0.8571428571428571
transfer_into_account,15,0.8666666666666667
exchange_charge,15,0.8666666666666667
lost_or_stolen_card,16,0.875
wrong_exchange_rate_for_cash_withdrawal,8,0.875
order_physical_card,18,0.8888888888888888
card_arrival,9,0.8888888888888888
why_verify_identity,10,0.9
cash_withdrawal_not_recognised,10,0.9
visa_or_mastercard,10,0.9
cash_withdrawal_charge,11,0.9090909090909091
getting_virtual_card,12,0.9166666666666666
declined_card_payment,13,0.9230769230769231
disposable_card_limits,14,0.9285714285714286
atm_support,14,0.9285714285714286
card_linking,14,0.9285714285714286
automatic_top_up,15,0.9333333333333333
pending_transfer,15,0.9333333333333333
unable_to_verify_identity,18,0.9444444444444444
exchange_via_app,18,1.0
exchange_rate,11,1.0
country_support,10,1.0
declined_cash_withdrawal,13,1.0
edit_personal_details,12,1.0
direct_debit_payment_not_recognised,12,1.0
balance_not_updated_after_cheque_or_cash_deposit,16,1.0
Refund_not_showing_up,15,1.0
card_payment_wrong_exchange_rate,11,1.0
change_pin,13,1.0
age_limit,11,1.0
apple_pay_or_google_pay,14,1.0
transaction_charged_twice,9,1.0
top_up_limits,11,1.0
reverted_card_payment?,12,1.0
terminate_account,9,1.0
pending_top_up,15,1.0
getting_spare_card,13,1.0
passcode_forgotten,8,1.0
pending_cash_withdrawal,17,1.0
lost_or_stolen_phone,13,1.0
get_physical_card,14,1.0
verify_top_up,14,1.0
verify_source_of_funds,16,1.0
wrong_amount_of_cash_received,14,1.0
